feature,importance
DRFP_1272,0.0010996046089353463
DRFP_568,0.0010984344290814558
DRFP_555,0.0010970559927859964
DRFP_1619,0.0010920194055741071
DRFP_276,0.0010896675423629446
DRFP_1794,0.0010832788867357725
DRFP_2,0.001074942723746441
Desc_NumHDonors,0.0010742515767414138
DRFP_522,0.0010707665461983783
DRFP_1822,0.001070636392449686
DRFP_32,0.0010584079987273995
DRFP_1183,0.0010457709400349738
DRFP_2047,0.0010442389877271937
DRFP_1218,0.0010434380805595114
DRFP_958,0.001042166672957514
DRFP_1154,0.0010324652148864456
DRFP_1364,0.0010306059784994884
DRFP_1457,0.0010295051908924939
DRFP_610,0.0010264233584482867
DRFP_1986,0.001019026324948276
DRFP_1346,0.0010062863534940824
DRFP_980,0.0010061333980350548
DRFP_593,0.001004983523091836
DRFP_592,0.0009965057788521726
DRFP_643,0.000986488537319141
DRFP_1566,0.000983795174836104
DRFP_1631,0.0009835455106258105
DRFP_667,0.0009801923507450517
DRFP_1931,0.000974734664390936
DRFP_743,0.000974136404324938
DRFP_2038,0.0009736352939148843
DRFP_1395,0.0009720102121060564
DRFP_1610,0.0009709722667006776
DRFP_923,0.0009663107828160009
DRFP_327,0.0009626802360546808
DRFP_1391,0.000954527054801102
DRFP_93,0.0009532395002556991
DRFP_672,0.000952511048985038
DRFP_85,0.0009521261636937342
DRFP_563,0.0009511857771219281
DRFP_645,0.0009410921567568326
DRFP_986,0.0009373267955648374
DRFP_942,0.0009350268566831938
DRFP_1638,0.0009340730338293373
Desc_IsDisubstituted,0.0009159325703582078
DRFP_79,0.0009072373274946091
DRFP_179,0.0009022664754194475
DRFP_1924,0.0008952738377194097
DRFP_1934,0.0008944327975085131
DRFP_1235,0.0008900137020506671
DRFP_196,0.0008872245626089569
DRFP_1052,0.000886418270901206
Olefin Trans,0.0008858915978613136
DRFP_1097,0.0008839736838847128
DRFP_885,0.0008820988799812224
DRFP_832,0.0008813175723826978
DRFP_1647,0.0008801949814016745
DRFP_519,0.000880188699835079
DRFP_1675,0.0008790110018100017
DRFP_1016,0.0008776523301807283
DRFP_1074,0.0008742583261627332
DRFP_1037,0.0008682662640505584
DRFP_2037,0.0008585441173964326
DRFP_47,0.0008570411431133647
DRFP_1608,0.0008563090088981376
DRFP_1736,0.0008548809716602745
DRFP_1485,0.0008486081958122638
DRFP_1722,0.0008466742629591968
DRFP_1662,0.0008446328025008408
DRFP_405,0.0008403729473601536
DRFP_1209,0.0008348021793235695
DRFP_981,0.0008273759413674016
DRFP_1716,0.0008223937075603652
DRFP_851,0.00082173487457652
DRFP_162,0.000820797425816332
DRFP_893,0.0008204369788145685
DRFP_1955,0.0008185339864213951
DRFP_1474,0.0008176260669291456
DRFP_98,0.000817106973888493
DRFP_390,0.0008163857927644883
DRFP_1650,0.0008013575170119547
DRFP_647,0.0007994849431562701
DRFP_119,0.000798908075117205
DRFP_338,0.0007958469088669171
DRFP_295,0.0007939225290756094
DRFP_1793,0.0007935554241116024
DRFP_1765,0.0007927526410438898
DRFP_1853,0.0007893058517770519
DRFP_818,0.0007866162145431023
DRFP_502,0.0007863171815259939
DRFP_1805,0.0007844547821932554
DRFP_1892,0.0007730904052330373
DRFP_1871,0.0007645699913244641
DRFP_316,0.0007604377264112819
DRFP_694,0.0007586200402698103
DRFP_751,0.0007528313442254477
DRFP_561,0.0007513002661595282
DRFP_1528,0.0007511867152108726
DRFP_1598,0.0007473767168274004
DRFP_581,0.0007452711232350628
DRFP_197,0.0007437766556883459
DRFP_702,0.0007369104683409849
DRFP_232,0.0007367201100510549
Desc_NumSaturatedCarbocycles,0.0007360718728059664
DRFP_1947,0.0007360364166268636
DRFP_1375,0.0007338678490165339
DRFP_983,0.0007292762483391595
Desc_IsGeminal,0.0007283033531353743
DRFP_1314,0.0007269197642078006
DRFP_447,0.0007268337563747307
DRFP_976,0.0007264908016338628
DRFP_773,0.00072506408235003
DRFP_467,0.0007237817228708853
DRFP_746,0.0007234134480715629
DRFP_111,0.0007149565346722021
DRFP_1744,0.0007102277199856815
DRFP_1024,0.0007100005265859035
DRFP_1487,0.0007084702149391725
DRFP_1727,0.0007083313821054882
DRFP_1017,0.0007054456014063177
DRFP_1846,0.0007014517468769076
DRFP_1550,0.0007004460626231344
